id,date,nremhr,rmssd,full_sleep_breathing_rate,stress_score,sleep_points_percentage,exertion_points_percentage,responsiveness_points_percentage,calories,filteredDemographicVO2Max,distance,bpm,lightly_active_minutes,moderately_active_minutes,very_active_minutes,sedentary_minutes,resting_hr,sleep_duration,minutesToFallAsleep,minutesAsleep,minutesAwake,minutesAfterWakeup,sleep_efficiency,sleep_deep_ratio,sleep_wake_ratio,sleep_light_ratio,sleep_rem_ratio,steps,minutes_in_default_zone_1,minutes_below_default_zone_1,minutes_in_default_zone_2,minutes_in_default_zone_3
621e2eaf67b776a2406b14ac,2021-11-02,72.132,18.213,15.6,74.0,0.7,0.775,0.7333333333333333,2145.59,42.92873,12695.4,83.20120825641887,220.0,69.0,57.0,588.0,75.75116920471191,506.0,0.0,432.0,74.0,0.0,91.0,1.5945945945945943,1.947368421052632,2.481818181818182,2.272727272727273,18266.0,241.0,1192.0,6.0,1.0
621e2eaf67b776a2406b14ac,2021-11-03,68.909,24.117,14.6,81.0,0.8333333333333334,0.775,0.8333333333333334,2064.83,42.97274,10509.1,83.36416236425138,300.0,21.0,29.0,540.0,74.72033882141113,550.0,0.0,494.0,56.0,0.0,93.0,1.8125,1.0,1.578125,1.4444444444444444,15010.0,208.0,1136.0,8.0,0.0
621e2eaf67b776a2406b14ac,2021-11-04,71.87,23.993,14.8,85.0,0.8333333333333334,0.825,0.9,2045.84,43.01302,10037.2,82.90438828574035,326.0,13.0,20.0,640.0,74.62883377075195,441.0,0.0,385.0,56.0,0.0,93.0,1.540983606557377,1.0,0.9170305676855895,0.9759036144578314,14488.0,270.0,1080.0,5.0,0.0
621e2eaf67b776a2406b14ac,2021-11-05,65.862,29.808,14.2,81.0,0.7,0.8,0.9333333333333332,2193.45,43.244980000000005,12581.3,81.55890645023494,361.0,24.0,20.0,476.0,72.2014102935791,458.0,0.0,401.0,57.0,0.0,92.0,1.0289855072463767,1.0178571428571428,1.2321428571428572,0.6585365853658537,18084.0,215.0,1192.0,2.0,0.0
621e2eaf67b776a2406b14ac,2021-11-06,67.923,21.77,14.6,81.0,0.8,0.85,0.7666666666666667,2535.46,43.44255,18124.1,84.3708257185579,398.0,72.0,48.0,474.0,72.02068424224854,409.0,0.0,353.0,56.0,0.0,91.0,1.2,1.0,0.8333333333333334,0.961038961038961,26027.0,331.0,1099.0,10.0,0.0
621e2eaf67b776a2406b14ac,2021-11-07,67.326,25.146,15.0,80.0,0.7666666666666667,0.725,0.9333333333333332,2032.21,43.675790000000006,9215.3,80.43664368989873,326.0,22.0,21.0,612.0,71.03907203674316,459.0,0.0,404.0,55.0,4.0,97.0,1.2916666666666667,0.9821428571428572,1.0921052631578947,0.8157894736842105,13168.0,153.0,1271.0,7.0,0.0
621e2eaf67b776a2406b14ac,2021-11-08,68.511,29.329,14.6,93.0,1.0,0.9,0.9,2185.82,43.94456,11568.4,83.8055216861174,286.0,30.0,51.0,572.0,69.97926712036133,501.0,0.0,446.0,55.0,0.0,92.0,1.9733333333333327,0.9821428571428572,0.7835497835497836,1.5810810810810811,16465.0,350.0,1020.0,8.0,0.0
621e2eaf67b776a2406b14ac,2021-11-09,67.58,28.906,14.4,89.0,0.8666666666666667,0.925,0.8666666666666667,2033.4,44.25256,9084.8,79.76094221207923,287.0,17.0,32.0,670.0,68.79345893859863,434.0,0.0,388.0,46.0,0.0,92.0,1.1785714285714286,0.8214285714285714,0.9377777777777778,0.975,13146.0,148.0,1279.0,13.0,0.0
621e2eaf67b776a2406b14ac,2021-11-10,65.488,32.647,14.2,94.0,0.9666666666666668,0.925,0.9333333333333332,2188.64,44.57435,11751.0,81.63628239499553,311.0,34.0,42.0,570.0,67.90356731414795,483.00000000000006,0.0,446.0,37.0,0.0,94.0,1.2674418604651163,0.6727272727272727,1.053811659192825,1.2911392405063291,16898.0,288.0,1146.0,6.0,0.0
621e2eaf67b776a2406b14ac,2021-11-11,65.314,27.327,14.0,91.0,0.9333333333333332,0.925,0.8666666666666667,2321.63,44.88016,13639.5,83.72815925209542,304.0,51.0,47.0,566.0,67.44555568695068,472.0,0.0,422.0,50.0,0.0,95.0,1.2272727272727273,0.9433962264150944,1.0,1.0975609756097562,19682.0,340.0,1098.0,2.0,0.0
