id,date,nremhr,rmssd,full_sleep_breathing_rate,stress_score,sleep_points_percentage,exertion_points_percentage,responsiveness_points_percentage,calories,filteredDemographicVO2Max,distance,bpm,lightly_active_minutes,moderately_active_minutes,very_active_minutes,sedentary_minutes,resting_hr,sleep_duration,minutesToFallAsleep,minutesAsleep,minutesAwake,minutesAfterWakeup,sleep_efficiency,sleep_deep_ratio,sleep_wake_ratio,sleep_light_ratio,sleep_rem_ratio,steps,minutes_in_default_zone_1,minutes_below_default_zone_1,minutes_in_default_zone_2,minutes_in_default_zone_3
621e2fce67b776a240279baa,2021-05-24,83.17,15.941,15.2,70.0,0.7333333333333333,0.725,0.6333333333333333,2393.99,43.67853,2444.9,94.80879974118407,143.0,0.0,0.0,796.0,85.80693912506104,501.0,0.0,438.0,63.0,19.0,96.0,1.0795454545454546,1.1454545454545455,1.2407407407407407,0.6637168141592921,3317.0,701.0,735.0,0.0,0.0
621e2fce67b776a240279baa,2021-05-25,72.014,22.091,12.8,73.0,0.8333333333333334,0.625,0.7666666666666667,2767.54,43.60421,6496.7,89.13495162111695,110.0,44.0,53.0,724.0,83.1150255203247,509.0,0.0,418.0,91.0,6.0,93.0,1.3707865168539326,1.6545454545454543,0.8027522935779816,1.0803571428571428,8805.0,294.0,1080.0,21.0,0.0
621e2fce67b776a240279baa,2021-05-27,68.708,23.375,12.8,85.0,0.9333333333333332,0.75,0.9,2134.25,43.658060000000006,720.2,85.58094742321707,80.0,0.0,0.0,802.0,79.89042568206787,558.0,0.0,481.0,77.0,0.0,99.0,1.1,1.375,1.2304147465437787,1.0267857142857142,980.0,330.0,1037.0,0.0,0.0
621e2fce67b776a240279baa,2021-05-28,68.284,26.654,13.6,83.0,0.9666666666666668,0.725,0.8333333333333334,2657.89,43.75079,5169.4,90.22621276595744,98.0,22.0,38.0,773.0,79.21614933013916,509.0,0.0,468.0,41.0,0.0,99.0,1.0303030303030305,0.5324675324675324,0.7565543071161048,1.4260869565217391,7006.0,512.0,869.0,24.0,0.0
621e2fce67b776a240279baa,2021-05-29,77.923,24.123,14.6,80.0,0.9333333333333332,0.825,0.6333333333333333,4658.91,43.77714,10564.3,105.44151155327344,224.0,217.0,125.0,488.0,80.52308177947998,386.0,0.0,344.0,42.0,0.0,96.0,0.8613861386138614,0.711864406779661,0.6936170212765957,0.6714285714285714,14319.0,781.0,533.0,88.0,0.0
621e2fce67b776a240279baa,2021-05-30,83.673,14.022,14.2,75.0,0.7,0.975,0.5,2616.24,43.69884,3512.9,95.204815133276,140.0,5.0,30.0,750.0,82.92868995666504,515.0,0.0,434.0,81.0,0.0,88.0,1.28125,1.528301886792453,1.0900473933649288,0.6532258064516129,4765.0,538.0,786.0,28.0,0.0
621e2fce67b776a240279baa,2021-05-31,73.504,21.036,15.2,82.0,0.9666666666666668,0.825,0.6666666666666666,2605.75,43.64833,4661.7,91.0851598173516,59.0,37.0,46.0,726.0,82.49479579925537,571.9999999999999,0.0,505.0,67.0,1.0,94.0,1.2621359223300972,1.1166666666666667,1.0601851851851851,1.280701754385965,6411.0,291.0,1106.0,28.0,0.0
621e2fce67b776a240279baa,2021-06-01,72.61,26.828,14.0,79.0,0.8333333333333334,0.825,0.7,2539.08,43.61415,5471.7,89.3968452863566,119.0,22.0,24.0,880.0,82.25250720977783,395.0,0.0,348.0,47.0,0.0,100.0,0.4907407407407407,0.7580645161290323,0.9541284403669724,0.725,7588.0,330.0,1088.0,2.0,0.0
621e2fce67b776a240279baa,2021-06-02,75.781,22.253,14.4,84.0,0.9666666666666668,0.825,0.7333333333333333,2433.55,43.54674000000001,2174.0,92.20013671578307,138.0,17.0,11.0,810.0,83.13899326324463,464.0,0.0,423.0,41.0,0.0,98.0,1.0606060606060606,0.6949152542372882,0.8847926267281107,1.0956521739130434,3193.0,304.0,1068.0,12.0,0.0
621e2fce67b776a240279baa,2021-06-03,74.915,24.219,13.6,80.0,0.8666666666666667,0.75,0.8,3289.58,43.46605,7741.4,95.6716262698984,240.0,28.0,60.0,621.0,83.64772891998291,491.0,0.0,435.0,56.0,0.0,97.0,1.04,0.9824561403508772,1.1502347417840375,0.7413793103448276,10494.0,633.0,778.0,27.0,0.0
